ФИО;Паспорт;СНИЛС;Симптомы;Врач;Дата визита;Анализы;Дата получения;Стоимость;Карта;Повторный прием
Лыткин Игорь Игоревич;N68749946;115-268-439 53;эмоциональное напряжение;Психотерапевт;2024-07-15T13:00;ЭЭГ + общий анализ крови;2024-07-18T17:00;2650 руб.;GAZPROMBANK | VISA | 6039 7944 9606 4949;2024-07-19T18:00
Коновалов Мирон Валерьевич;N57425616;653-668-157 21;острая локальная боль, воспаление, ограничение функции;Хирург;2024-10-11T11:00;общий анализ крови;2024-10-14T10:30;850 руб.;GAZPROMBANK | MIR | 3321 8439 4339 4028;2024-10-15T11:30
Третьяков Кузьма Григорьевич;AB4046508;352-204-552 29;отек тканей, ограничение функции, острая локальная боль;Хирург;2024-02-19T11:00;общий анализ крови;2024-02-21T14:30;850 руб.;GAZPROMBANK | MASTERCARD | 3856 2504 4658 8555;2024-02-22T15:30
Попов Всеволод Павлович;47 42 619596;127-431-543 77;воспаление десен, неприятный запах;Стоматолог;2024-04-01T09:00;общий анализ крови + биохимический анализ крови;2024-04-02T14:00;1700 руб.;MTS BANK | MIR | 7679 1132 1873 8471;2024-04-03T15:00
Хмельников Андрей Егорович;N96768240;675-107-176 56;трудности глотания, дискомфорт после еды;Эндоскопист;2024-03-05T10:00;общий анализ крови + ФГДС;2024-03-07T09:30;6350 руб.;TINKOFF BANK | MIR | 2015 2381 9593 3240;2024-03-08T10:30
Алексееев Влад Артемьевич;AB8735515;518-995-792 17;дыхательный дискомфорт, стеснение в груди;Пульмонолог;2024-01-15T09:00;спирометрия + общий анализ крови;2024-01-18T12:00;2650 руб.;SBERBANK OF RUSSIA | VISA | 4952 2155 4734 3197;2024-01-19T13:00
Попов Степан Аркадьевич;18 67 352044;367-243-627 99;скованность движений, нарушение осанки, дискомфорт при ходьбе;Ортопед;2024-12-24T11:00;рентген грудной клетки + общий анализ крови + МРТ позвоночника;2024-12-25T13:00;8550 руб.;MTS BANK | MIR | 8482 7412 6822 9665;2024-12-26T14:00
Быстров Федор Юрьевич;AB9963648;605-381-697 43;дискомфорт в животе;Гастроэнтеролог;2024-09-11T11:00;биохимический анализ крови + ФГДС + общий анализ крови;2024-09-13T10:00;7200 руб.;GAZPROMBANK | MIR | 3269 7599 3683 3992;2024-09-16T11:00
Филатов Ратмир Максимович;N85859977;305-287-301 96;неприятный запах, воспаление десен;Стоматолог;2024-09-04T08:00;общий анализ крови;2024-09-05T14:00;850 руб.;MTS BANK | MIR | 1389 9461 8099 8692;2024-09-06T15:00
Елисеев Клим Всеволодович;AB8174377;139-882-699 29;ограничение подвижности, хронические боли;Физиотерапевт;2024-09-27T17:00;ультразвуковая терапия;2024-09-30T17:30;450 руб.;GAZPROMBANK | VISA | 9886 8701 6633 2399;2024-10-01T18:30
Федоров Виталий Ярославович;N15784762;449-334-322 95;нестабильный пульс, резкая одышка;Кардиохирург;2024-03-19T09:00;коагулограмма;2024-03-20T10:30;800 руб.;SBERBANK OF RUSSIA | VISA | 2795 8008 2010 4846;2024-03-21T11:30
Кулагин Эдуард Коновалович;75 15 900584;975-831-595 35;длительная боль;Онколог;2024-09-27T16:00;общий анализ крови;2024-09-30T18:00;850 руб.;SBERBANK OF RUSSIA | MASTERCARD | 4638 8536 4096 4232;2024-10-01T10:00
Буров Евгений Михайлович;AB5750214;261-524-887 13;нестабильное дыхание;Неонатолог;2024-06-26T12:00;общий анализ крови;2024-06-27T12:00;850 руб.;VTB BANK | MIR | 5734 5267 1331 5957;2024-06-28T13:00
Чернов Семён Александрович;AB6938733;112-181-707 28;затрудненное дыхание;Пульмонолог;2024-11-19T14:00;общий анализ крови;2024-11-21T13:00;850 руб.;GAZPROMBANK | MIR | 2435 1980 4068 8481;2024-11-22T14:00
Капустин Гавриил Валерьевич;AB6205884;428-830-937 61;покраснение, воспаление;Хирург;2024-04-29T09:00;биохимический анализ крови + общий анализ крови + УЗИ органов брюшной полости;2024-05-01T09:30;4200 руб.;SBERBANK OF RUSSIA | MIR | 9310 2074 7610 7023;2024-05-02T10:30
Сидоров Алексей Елисеевич;35 83 468575;592-602-857 34;вялость;Неонатолог;2024-11-25T17:00;общий анализ крови + биохимический анализ крови + общий анализ мочи;2024-11-27T17:00;1990 руб.;VTB BANK | MIR | 9690 5605 6639 5154;2024-11-28T18:00
Лыткин Илья Витальевич;N93357244;458-516-257 35;напряжение голоса, заикание, трудности произношения;Логопед;2024-02-21T17:00;психодиагностика + аудиометрия;2024-02-23T11:00;6200 руб.;SBERBANK OF RUSSIA | MIR | 8663 4170 5023 3852;2024-02-26T12:00
Краснов Евгений Константинович;82 45 964303;744-344-215 94;нестабильная температура, общее недомогание;Терапевт;2024-07-12T15:00;биохимический анализ крови + общий анализ крови;2024-07-15T13:30;1700 руб.;SBERBANK OF RUSSIA | VISA | 4918 6644 6864 5912;2024-07-16T14:30
Демьянов Елисей Кириллович;AB5589433;867-541-979 85;наследственные риски;Генетик;2024-11-18T13:00;биохимический анализ крови + генетический анализ;2024-11-21T17:30;12850 руб.;MTS BANK | VISA | 7151 2071 2098 1937;2024-11-22T18:30
Суворов Леон Игоревич;49 68 467516;907-788-390 95;хронические боли;Физиотерапевт;2024-07-24T10:00;дарсонвализация + ультразвуковая терапия;2024-07-29T13:30;950 руб.;VTB BANK | MIR | 3943 4307 9559 5398;2024-07-30T14:30
Михеев Виталий Никифорович;AB1958506;928-960-227 20;врожденные особенности, наследственные риски;Генетик;2024-06-06T08:00;генетический анализ + биохимический анализ крови;2024-06-10T08:00;12850 руб.;GAZPROMBANK | MASTERCARD | 2194 9948 4701 2309;2024-06-11T09:00
Харитонов Емельян Тимурович;N31030051;119-921-604 31;тревожность;Психиатр;2024-05-23T10:00;психодиагностика + общий анализ крови + биохимический анализ крови;2024-05-24T10:00;6700 руб.;SBERBANK OF RUSSIA | VISA | 7947 3843 1312 8821;2024-05-27T11:00
Агапов Всеволод Максимович;N57275091;214-972-939 88;необъяснимая потеря веса;Онколог;2024-07-11T09:00;общий анализ крови + биохимический анализ крови;2024-07-15T15:30;1700 руб.;TINKOFF BANK | VISA | 7188 5958 5888 9080;2024-07-16T16:30
Терентьев Максим Игоревич;AB6544126;739-319-461 76;тяжесть после еды, дискомфорт в животе;Гастроэнтеролог;2024-01-15T11:00;ФГДС;2024-01-17T15:00;5500 руб.;GAZPROMBANK | MASTERCARD | 6168 1601 1669 6064;2024-01-18T16:00
Герасимов Влад Валерьевич;30 37 828342;594-582-737 29;эмоциональное напряжение, трудности расслабления, стресс;Психотерапевт;2024-12-05T08:00;общий анализ крови + психодиагностика;2024-12-09T11:30;5850 руб.;GAZPROMBANK | MASTERCARD | 1279 2539 8850 4004;2024-12-10T12:30
Александров Роман Константинович;AB5178550;357-439-100 41;выраженная боль в груди;Кардиохирург;2024-02-26T13:00;эхокардиография + коагулограмма + ЭКГ;2024-02-27T15:00;6800 руб.;MTS BANK | MASTERCARD | 8331 3600 2275 5663;2024-02-28T16:00
Лаврентьев Лев Андреевич;N71332208;595-605-182 47;покраснение кожи;Дерматолог;2024-04-15T10:00;биохимический анализ крови + соскоб кожи на грибки;2024-04-17T12:30;1550 руб.;SBERBANK OF RUSSIA | VISA | 2163 4414 1257 9847;2024-04-18T13:30
Царев Антон Геннадьевич;N40669229;809-400-802 20;ломота в теле, общее недомогание;Терапевт;2024-11-15T15:00;общий анализ крови;2024-11-18T16:00;850 руб.;SBERBANK OF RUSSIA | MASTERCARD | 7797 5656 1812 1194;2024-11-19T17:00
Кузин Давид Маркович;66 70 194713;220-148-747 71;перепады настроения, апатия;Психиатр;2024-02-21T17:00;биохимический анализ крови + общий анализ крови + психодиагностика;2024-02-23T14:00;6700 руб.;VTB BANK | MIR | 8099 8722 9540 6071;2024-02-26T15:00
