ФИО;Паспорт;СНИЛС;Симптомы;Врач;Дата визита;Анализы;Дата получения;Стоимость;Карта;Повторный прием
Михайлов Илья Дмитриевич;67 34 872690;554-463-702 62;боли в суставах, дискомфорт при ходьбе;Ортопед;2024-11-04T14:00;общий анализ крови + МРТ позвоночника + рентген грудной клетки;2024-11-06T18:00;8550 руб.;SBERBANK OF RUSSIA | MASTERCARD | 1885 7637 2513 6468;2024-11-07T10:00
Беляев Андрей Аркадьевич;N30968866;457-896-206 96;ухудшение зрения, светочувствительность, двоение;Офтальмолог;2024-11-01T13:00;офтальмоскопия + общий анализ крови;2024-11-04T13:00;1450 руб.;SBERBANK OF RUSSIA | MIR | 4298 7027 3666 5453;2024-11-05T14:00
Попов Игнат Андреевич;14 39 431330;134-194-399 98;головная боль;Невролог;2024-05-02T13:00;общий анализ крови + МРТ головного мозга;2024-05-06T08:00;8350 руб.;TINKOFF BANK | MASTERCARD | 2048 1337 6759 1294;2024-05-07T09:00
Коновчук Геннадий Романович;85 28 335458;217-571-977 94;отказ от еды;Педиатр;2024-09-02T13:00;общий анализ мочи;2024-09-03T18:00;290 руб.;GAZPROMBANK | VISA | 8742 3141 9316 2527;2024-09-04T13:00
Громов Мирон Григорьевич;56 50 887334;627-536-261 36;изменение мочи, боль в пояснице;Нефролог;2024-09-16T16:00;общий анализ мочи + УЗИ почек и мочевого пузыря;2024-09-18T14:00;2790 руб.;SBERBANK OF RUSSIA | MASTERCARD | 3054 6095 8698 1080;2024-09-19T15:00
Андреев Ратмир Алексеевич;35 73 936968;550-767-866 70;стеснение в груди, кашель;Пульмонолог;2024-05-27T15:00;общий анализ крови + спирометрия + рентген грудной клетки;2024-05-29T13:00;3850 руб.;GAZPROMBANK | MASTERCARD | 9126 6667 2120 4587;2024-05-30T14:00
Краснов Харитон Романович;AB8500310;546-713-500 75;замедленное восстановление;Реабилитолог;2024-11-15T12:00;общий анализ крови + консультация врача-реабилитолога;2024-11-18T10:00;5450 руб.;SBERBANK OF RUSSIA | MASTERCARD | 8091 5818 3058 5267;2024-11-19T11:00
Лихачев Анатолий Владиславович;AB9860278;179-721-455 98;утомляемость;Реабилитолог;2024-04-18T08:00;консультация врача-реабилитолога + механотерапия;2024-04-19T13:00;5200 руб.;SBERBANK OF RUSSIA | MASTERCARD | 3451 5304 4424 3252;2024-04-22T14:00
Куприянов Алексей Владиславович;N60889359;139-438-501 91;скованность движений, нарушение осанки, боли в суставах;Ортопед;2024-08-05T15:00;общий анализ крови;2024-08-08T14:00;850 руб.;GAZPROMBANK | MIR | 9146 3174 1883 8581;2024-08-09T15:00
Федоров Константин Семенович;23 71 413150;488-462-832 29;резкая одышка, нестабильный пульс, обморочные состояния;Кардиохирург;2024-05-16T17:00;ЭКГ;2024-05-17T11:00;1500 руб.;MTS BANK | MASTERCARD | 9824 5341 1764 3323;2024-05-20T12:00
Максимов Игнат Русланович;40 61 338466;410-722-992 81;ощущение нехватки воздуха, стеснение в груди;Пульмонолог;2024-09-11T13:00;общий анализ крови + рентген грудной клетки;2024-09-13T13:30;2050 руб.;TINKOFF BANK | MASTERCARD | 6231 7331 6541 9706;2024-09-16T14:30
Кудрявцев Егор Яковлевич;AB5054660;487-122-296 19;снижение энергии, усталость, проблемы с весом;Диетолог;2024-08-12T16:00;глюкоза крови + биохимический анализ крови + общий анализ мочи;2024-08-14T16:00;1400 руб.;MTS BANK | MIR | 1639 9730 8848 7101;2024-08-15T17:00
Королев Алексей Артемьевич;AB1206112;827-127-612 47;синяки, деформация, боль после повреждения;Травматолог;2024-12-17T14:00;общий анализ крови + МРТ сустава + рентген сустава;2024-12-19T16:00;8850 руб.;VTB BANK | MASTERCARD | 8295 3468 8888 7019;2024-12-20T17:00
Зуев Евдоким Елисеевич;N57106247;734-790-701 12;нарушения речи, замедленная речь;Логопед;2024-12-30T09:00;общий анализ крови + психодиагностика;2025-01-01T12:30;5850 руб.;MTS BANK | MASTERCARD | 9495 2439 6950 1436;2025-01-02T13:30
Авдеев Леонид Филиппович;48 63 930266;367-789-926 35;нарушение питания, снижение энергии, проблемы с весом;Диетолог;2024-11-11T11:00;общий анализ мочи + глюкоза крови + биохимический анализ крови;2024-11-14T15:00;1400 руб.;VTB BANK | MIR | 7493 4073 3346 5726;2024-11-15T16:00
Денисов Юрий Михайлович;32 30 514175;820-449-476 25;дискомфорт при ходьбе, утомляемость, боли в суставах;Ортопед;2024-07-09T12:00;МРТ позвоночника;2024-07-11T17:00;6500 руб.;VTB BANK | MASTERCARD | 6979 9910 6652 7577;2024-07-12T18:00
Дроздов Эдуард Глебович;95 32 139911;993-531-476 64;скованность движений, нарушение осанки;Ортопед;2024-10-01T10:00;МРТ позвоночника;2024-10-04T09:00;6500 руб.;SBERBANK OF RUSSIA | MIR | 2675 9569 2154 9812;2024-10-07T10:00
Васильев Николай Захарович;AB5142408;726-985-127 72;частые срыгивания;Неонатолог;2024-04-01T17:00;общий анализ мочи + общий анализ крови + биохимический анализ крови;2024-04-03T09:00;1990 руб.;VTB BANK | MIR | 6199 6809 2780 9565;2024-04-04T10:00
Борисов Владимир Евгеньевич;N79086775;534-251-857 80;снижение энергии;Эндокринолог;2024-06-10T10:00;ТТГ;2024-06-12T11:00;410 руб.;TINKOFF BANK | VISA | 8417 4684 5042 1294;2024-06-13T12:00
Лазарев Алексей Петрович;77 60 786186;853-289-475 12;замедленная реакция, нарушение чувствительности, головная боль;Невролог;2024-11-25T08:00;ЭЭГ + МРТ головного мозга + общий анализ крови;2024-11-28T10:00;10150 руб.;SBERBANK OF RUSSIA | MASTERCARD | 2470 8785 4715 3751;2024-11-29T11:00
Гаврилов Григорий Олегович;56 41 817331;762-946-148 23;реакции на раздражители, чихание, кожные проявления;Аллерголог;2024-10-22T15:00;общий анализ крови + биохимический анализ крови + аллергопробы;2024-10-24T13:30;3700 руб.;SBERBANK OF RUSSIA | MASTERCARD | 4048 5513 3259 6936;2024-10-25T14:30
Тихонов Анатолий Васильевич;92 11 458565;157-501-351 51;ограничение подвижности;Физиотерапевт;2024-06-07T15:00;ультразвуковая терапия + магнитотерапия + дарсонвализация;2024-06-10T15:00;1300 руб.;GAZPROMBANK | MASTERCARD | 3020 7078 8652 4832;2024-06-11T16:00
Веденин Николай Петрович;76 37 186546;616-943-857 96;атипичные проявления, системные нарушения, врожденные особенности;Генетик;2024-12-10T17:00;общий анализ крови + биохимический анализ крови + генетический анализ;2024-12-12T17:00;13700 руб.;SBERBANK OF RUSSIA | MIR | 2982 6923 1142 2413;2024-12-13T18:00
Долгов Дамир Богданович;93 52 854519;564-691-235 63;першение в горле;Лор;2024-08-28T12:00;общий анализ крови;2024-08-30T12:00;850 руб.;GAZPROMBANK | MASTERCARD | 5849 1996 7861 3416;2024-09-02T13:00
Долгов Тимур Георгиевич;AB5168589;133-210-146 14;повышение давления;Нефролог;2024-06-06T08:00;бактериологический посев мочи + общий анализ мочи + УЗИ почек и мочевого пузыря;2024-06-10T17:30;3690 руб.;MTS BANK | MIR | 3563 9614 3494 5484;2024-06-11T18:30
Ковалев Тимофей Андреевич;N87350496;124-448-369 18;снижение энергии, нарушение питания;Диетолог;2024-11-15T16:00;глюкоза крови + общий анализ мочи;2024-11-18T09:30;550 руб.;GAZPROMBANK | VISA | 9020 6190 6789 3218;2024-11-19T10:30
Кузин Пётр Богданович;15 71 556192;260-793-294 61;мышечное напряжение, хронические боли, скованность;Физиотерапевт;2024-10-04T16:00;ультразвуковая терапия;2024-10-07T13:30;450 руб.;TINKOFF BANK | MASTERCARD | 1753 6375 7983 7789;2024-10-08T14:30
Нестеров Тимофей Дмитриевич;79 87 664689;563-631-484 20;общее недомогание;Терапевт;2024-03-27T08:00;общий анализ крови + общий анализ мочи;2024-03-29T10:30;1140 руб.;GAZPROMBANK | MIR | 1260 3605 1249 2394;2024-04-01T11:30
Агапов Савелий Егорович;89 93 493121;305-981-207 11;длительная боль;Онколог;2024-01-15T17:00;онкомаркеры + биохимический анализ крови + общий анализ крови;2024-01-17T14:00;4100 руб.;MTS BANK | MASTERCARD | 3299 2372 1974 4345;2024-01-18T15:00
Савин Ярослав Тимофеевич;38 54 678252;167-542-381 87;вздутие, изменение аппетита, дискомфорт в животе;Гастроэнтеролог;2024-07-15T11:00;ФГДС;2024-07-17T10:00;5500 руб.;TINKOFF BANK | MASTERCARD | 3142 6650 4266 8921;2024-07-18T11:00
Михеев Арсений Николаевич;73 52 310957;920-328-957 53;слабость, повышение давления;Нефролог;2024-11-18T14:00;общий анализ мочи + бактериологический посев мочи;2024-11-21T13:00;1190 руб.;VTB BANK | MIR | 2608 8411 8177 5498;2024-11-22T14:00
Гаврилов Тарас Яковлевич;AB5413488;866-468-260 54;боли в суставах, скованность движений, дискомфорт при ходьбе;Ортопед;2024-06-11T17:00;МРТ позвоночника + рентген грудной клетки;2024-06-13T12:30;7700 руб.;SBERBANK OF RUSSIA | MIR | 2609 2148 1926 4833;2024-06-14T13:30
Грачев Ратмир Захарович;27 36 605442;168-201-142 32;резкие изменения веса, усталость;Эндокринолог;2024-10-08T08:00;глюкоза крови;2024-10-10T12:00;260 руб.;TINKOFF BANK | MIR | 2963 8403 4885 9113;2024-10-11T13:00
Филатов Алексей Михайлович;78 90 637673;778-939-128 80;усталость, пищевой дискомфорт, нарушение питания;Диетолог;2024-05-09T15:00;биохимический анализ крови + глюкоза крови;2024-05-13T15:00;1110 руб.;TINKOFF BANK | MIR | 3582 8366 2507 8227;2024-05-14T16:00
Чернов Марк Антонович;86 55 183068;197-860-368 91;боли в суставах;Ортопед;2024-10-02T09:00;МРТ позвоночника + общий анализ крови + рентген грудной клетки;2024-10-04T16:00;8550 руб.;SBERBANK OF RUSSIA | MIR | 6234 4138 1278 2967;2024-10-07T17:00
Харитонов Даниил Глебович;93 10 442306;137-297-153 59;напряжение глаз, ухудшение зрения;Офтальмолог;2024-10-02T14:00;томография глаза;2024-10-07T11:00;400 руб.;MTS BANK | MASTERCARD | 8288 3386 5199 4740;2024-10-08T12:00
Данилов Давид Петрович;55 43 734598;862-200-416 55;изменение мочи, боль в пояснице;Нефролог;2024-06-17T08:00;общий анализ мочи + бактериологический посев мочи;2024-06-19T16:00;1190 руб.;TINKOFF BANK | MIR | 6106 5877 9104 3851;2024-06-20T17:00
Макаров Тимофей Геннадьевич;23 70 833418;978-399-154 93;резкие изменения веса, усталость;Эндокринолог;2024-07-26T08:00;ТТГ;2024-07-29T15:00;410 руб.;MTS BANK | MIR | 2203 3160 3880 2218;2024-07-30T16:00
Мартынов Александр Давидович;44 63 877517;727-137-679 49;наследственные риски;Генетик;2024-02-19T12:00;генетический анализ;2024-02-20T17:00;12000 руб.;GAZPROMBANK | MIR | 4915 3281 4464 6428;2024-02-21T18:00
Суворов Василий Коновалович;34 43 264786;196-692-156 50;резкие изменения веса, жажда, усталость;Эндокринолог;2024-05-27T17:00;ТТГ + анализ на гормоны щитовидной железы;2024-05-28T17:00;1910 руб.;VTB BANK | MASTERCARD | 1974 2613 3066 2405;2024-05-29T18:00
Евсеев Богдан Евгеньевич;88 32 519505;993-967-596 48;усталость;Эндокринолог;2024-01-18T15:00;глюкоза крови + анализ на гормоны щитовидной железы;2024-01-22T14:30;1760 руб.;SBERBANK OF RUSSIA | MASTERCARD | 9794 6769 4815 7618;2024-01-23T15:30
Горбунов Егор Федорович;37 79 276714;101-472-658 83;ограничение функции, покраснение, острая локальная боль;Хирург;2024-06-10T11:00;биохимический анализ крови + общий анализ крови + УЗИ органов брюшной полости;2024-06-13T10:00;4200 руб.;TINKOFF BANK | MASTERCARD | 3858 2457 6442 9193;2024-06-14T11:00
Сидоров Клим Юрьевич;N76297908;383-553-976 55;изжога;Эндоскопист;2024-12-18T17:00;ФГДС + общий анализ крови + колоноскопия;2024-12-23T13:00;13850 руб.;MTS BANK | MIR | 7669 4458 4909 9508;2024-12-24T14:00
Муравьев Алексей Ильич;21 50 367659;900-874-663 15;частые срыгивания, вялость, нестабильное дыхание;Неонатолог;2024-07-08T08:00;общий анализ мочи;2024-07-10T10:30;290 руб.;TINKOFF BANK | MIR | 2088 4790 5409 8729;2024-07-11T11:30
Туров Всеволод Захарович;AB4049779;151-230-476 40;уплотнения, снижение аппетита;Онколог;2024-07-11T16:00;онкомаркеры + биохимический анализ крови + общий анализ крови;2024-07-15T17:00;4100 руб.;GAZPROMBANK | MASTERCARD | 7226 3077 1512 1108;2024-07-16T18:00
Хохлов Андрей Аркадьевич;69 74 533679;795-831-235 81;снижение активности;Неонатолог;2024-01-15T17:00;общий анализ крови;2024-01-18T14:30;850 руб.;SBERBANK OF RUSSIA | VISA | 4303 4974 4231 2649;2024-01-19T15:30
Коротков Руслан Вадимович;20 91 801557;507-679-566 97;отказ от еды, повышенная температура, кашель;Педиатр;2024-10-22T13:00;общий анализ крови + общий анализ мочи;2024-10-23T13:30;1140 руб.;GAZPROMBANK | MIR | 8463 4838 7676 8041;2024-10-24T14:30
Ларионов Святослав Владиславович;20 92 252931;508-789-774 34;неустойчивость;Невролог;2024-05-16T12:00;МРТ головного мозга;2024-05-20T10:00;7500 руб.;MTS BANK | MIR | 1088 2674 3861 8581;2024-05-21T11:00
Крылов Максим Валерьевич;N42688158;257-159-281 15;покраснение кожи, шелушение, высыпания;Дерматолог;2024-06-04T12:00;общий анализ крови;2024-06-07T14:30;850 руб.;VTB BANK | MIR | 1756 9653 1212 4260;2024-06-10T15:30
Макаров Макар Иванович;N90569588;672-505-437 62;необъяснимая потеря веса, уплотнения, снижение аппетита;Онколог;2024-10-16T08:00;онкомаркеры + биохимический анализ крови + общий анализ крови;2024-10-18T13:00;4100 руб.;VTB BANK | MIR | 9241 9200 2928 6575;2024-10-21T14:00
Игнатьев Федор Эдуардович;N58444004;501-731-985 30;резкая одышка, обморочные состояния;Кардиохирург;2024-02-12T16:00;ЭКГ + эхокардиография;2024-02-14T09:00;6000 руб.;SBERBANK OF RUSSIA | MASTERCARD | 8881 6763 9381 4963;2024-02-15T10:00
Афанасьев Савелий Евгеньевич;32 22 608777;144-615-130 72;двоение, сухость;Офтальмолог;2024-06-24T11:00;томография глаза + общий анализ крови;2024-06-27T12:00;1250 руб.;GAZPROMBANK | MIR | 1959 9140 3321 6724;2024-06-28T13:00
Лазарев Евгений Аркадьевич;24 28 474392;188-193-755 16;напряжение голоса, трудности произношения, замедленная речь;Логопед;2024-02-08T17:00;аудиометрия;2024-02-12T16:00;1200 руб.;MTS BANK | MASTERCARD | 9159 7629 5465 4990;2024-02-13T17:00
Рубцов Макар Ильич;92 89 740770;563-509-814 48;утомляемость, нарушение осанки, скованность движений;Ортопед;2024-01-05T17:00;МРТ позвоночника + общий анализ крови + рентген грудной клетки;2024-01-08T14:00;8550 руб.;SBERBANK OF RUSSIA | MIR | 1754 6606 8087 6604;2024-01-09T15:00
Агапов Игнат Никифорович;63 34 381438;666-776-835 47;сыпь, отказ от еды, вялость;Педиатр;2024-03-27T11:00;биохимический анализ крови;2024-04-01T09:00;850 руб.;VTB BANK | MASTERCARD | 2328 7117 4109 1723;2024-04-02T10:00
Медведев Макар Арсеньевич;25 84 150914;787-401-944 66;снижение энергии, нарушение питания;Диетолог;2024-04-26T17:00;общий анализ мочи + глюкоза крови + биохимический анализ крови;2024-04-29T09:30;1400 руб.;VTB BANK | MIR | 2295 6438 4294 8900;2024-04-30T10:30
Антонов Виталий Ростиславович;AB1394351;810-388-222 48;отек, синяки;Травматолог;2024-03-04T14:00;МРТ сустава + рентген сустава + общий анализ крови;2024-03-06T17:00;8850 руб.;SBERBANK OF RUSSIA | MIR | 5025 6499 3975 5390;2024-03-07T18:00
Коваленко Антон Валерьевич;76 57 685664;700-261-465 71;нарушения сна, перепады настроения;Психиатр;2024-11-27T11:00;биохимический анализ крови + общий анализ крови + психодиагностика;2024-11-29T14:30;6700 руб.;GAZPROMBANK | VISA | 3691 9812 2112 9703;2024-12-02T15:30
Игнатов Марк Васильевич;58 10 644207;117-829-509 13;покраснение кожи, шелушение, зуд;Дерматолог;2024-09-23T13:00;общий анализ крови;2024-09-25T12:00;850 руб.;GAZPROMBANK | MIR | 7490 5849 8044 9868;2024-09-26T13:00
Бобров Влад Кириллович;75 85 208342;307-927-103 33;снижение энергии, нарушение питания;Диетолог;2024-05-22T16:00;биохимический анализ крови;2024-05-24T11:30;850 руб.;VTB BANK | MIR | 6933 5924 1503 1653;2024-05-27T12:30
Лихачев Матвей Александрович;88 31 669041;728-263-289 84;светочувствительность, сухость;Офтальмолог;2024-07-05T14:00;офтальмоскопия + общий анализ крови;2024-07-08T16:00;1450 руб.;SBERBANK OF RUSSIA | MASTERCARD | 8525 1919 6370 9584;2024-07-09T17:00
Елисеев Константин Романович;N43064354;468-292-289 40;вялость, повышенная температура;Педиатр;2024-08-20T14:00;общий анализ мочи + биохимический анализ крови + общий анализ крови;2024-08-22T12:00;1990 руб.;VTB BANK | MASTERCARD | 2207 2723 9263 3087;2024-08-23T13:00
Князев Максим Кириллович;12 89 790651;198-557-670 77;ощущение нехватки воздуха, затрудненное дыхание, стеснение в груди;Пульмонолог;2024-09-27T09:00;спирометрия;2024-09-30T17:30;1800 руб.;SBERBANK OF RUSSIA | MASTERCARD | 7864 4183 5665 6118;2024-10-01T18:30
Николаев Радимир Валентинович;83 52 364850;223-643-592 50;светочувствительность;Офтальмолог;2024-05-07T11:00;общий анализ крови + офтальмоскопия + томография глаза;2024-05-09T11:00;1850 руб.;SBERBANK OF RUSSIA | MASTERCARD | 4771 9414 9668 9951;2024-05-10T12:00
